Climate region;Baseline system;Agroforestry/Mixed farming type;Description;Image;Image description;Mean temperature;Heat extremes;Cold extremes;Mean precipitation;Extreme precipitation;Drought;Windstorms;Establishment costs;Management ease;Financial performance with subsidies;Financial performance without subsidies;Link to literature review;Case studies;exposure_1;exposure_2;exposure_3;exposure_4;exposure_5;exposure_6;exposure_7;exposure_8;exposure_9;sensitivity_1;sensitivity_2;sensitivity_3;sensitivity_4;sensitivity_5;sensitivity_6;sensitivity_7;sensitivity_8;sensitivity_9;sensitivity_10;sensitivity_11;sensitivity_12;sensitivity_13;adaptive_capacity_1;adaptive_capacity_2;adaptive_capacity_3;adaptive_capacity_4;adaptive_capacity_5;adaptive_capacity_6;adaptive_capacity_8;caveats_1;caveats_2;caveats_3;caveats_4;caveats_5;caveats_6;caveats_7;caveats_8;caveats_9;caveats_10;caveats_11;caveats_12;caveats_13;caveats_14;trade_offs_1;trade_offs_2;trade_offs_3;trade_offs_4;trade_offs_5;trade_offs_6;trade_offs_7;trade_offs_8
Southern Europe;Annual crops;Alley cropping with annual crops;Within-field linear systems with annual crops (arable, vegetables) grown in alleys between tree rows. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;x;x;x;;;x;x;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;;;x;x;x;;;x;x;x;;x;x;x;;;x;x;x;x;;x;;x
Southern Europe;Annual crops;Forest farming;Cultivation of high-value crops under the protection of a managed tree canopy.;SE_intercropped_orchard_forest_farming.jpg;;Higher;Much higher;No consensus;Higher;Higher;Much higher;Higher;No consensus;Harder;No consensus;Unknown;;;x;x;x;x;x;x;x;;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;;x;x;x;;x;x;x;x;;x;x;;x;;x;;x
Southern Europe;Annual crops;Hedgerows, riparian buffers and shelterbelts;Linear systems of shrubs and trees around field perimeters or adjacent to streams, rivers, lakes or wetlands. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;SE_tree_vines_hedges.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;x;x;x;;;;;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;;;;x;x;;x;x;x;x;;x;x;x;x;;x;;x
Southern Europe;Annual crops;Intercropped orchards;Permanent woody crops (top fruit, nuts, vines, olives) with annual crops (arable, vegetables).;SE_intercropped_orchard_forest_farming.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;x;x;x;x;x;x;x;;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;;x;x;x;;x;x;x;x;;x;x;;x;;x;;x
Southern Europe;Forestry;Forest farming;Cultivation of high-value crops under the protection of a managed tree canopy.;SE_intercropped_orchard_forest_farming.jpg;;Higher;No consensus;Unknown;No consensus;No consensus;Higher;No consensus;No consensus;Harder;No consensus;No consensus;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;x;;x;x;x;x;;;;;x;x;x;;x
Southern Europe;Forestry;Forest grazing;Livestock incorporated into woodlands or forest.;SE_forest_grazing_agromix_01.jpg;;Higher;No consensus;Unknown;No consensus;No consensus;Higher;No consensus;No consensus;Harder;No consensus;Unknown;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
Southern Europe;Forestry;Wood pasture;Livestock with scattered trees. The trees can be productive (e.g. fruit, timber, cork, fodder) or not.;SE_wood_pastures_agromix.jpg;;Higher;Higher;Unknown;Higher;No consensus;Higher;No consensus;No consensus;Harder;More profitable;No consensus;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
Southern Europe;Livestock;Agrosilvopastoral;Combination of trees, livestock and annual crops (arable, vegetables) within the same system, usually on a rotation. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;SE_agrosilvopastoral.jpg;;Higher;Much higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;Unknown;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;;x;;x;x;x
Southern Europe;Livestock;Alley systems with livestock;Within-field linear systems with pasture or forage grown in alleys between tree rows. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;x;x;x;;;x;x;x;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;;;x;x;x;;x;x;x;;x;x;x;x;;;x;x;x;x;;x;x;x
Southern Europe;Livestock;Forest grazing;Livestock incorporated into woodlands or forest.;SE_forest_grazing_agromix_02.jpg;;Much higher;Much higher;No consensus;Higher;Higher;Higher;Higher;No consensus;Harder;Unknown;Unknown;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;;x
Southern Europe;Livestock;Grazed orchards;Permanent woody crops (top fruit, nuts, vines, olives) with livestock.;SE_grazed_orchard.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;x;x
Southern Europe;Livestock;Hedgerows, riparian buffers and shelterbelts;Linear systems of shrubs and trees around field perimeters or adjacent to streams, rivers, lakes or wetlands. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;SE_tree_hedges.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;x;x;x;;;;;x;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;;x;;x;;x;x;x;x;x;;x;x;x;x;;x;x;x
Southern Europe;Livestock;Wood pasture;Livestock with scattered trees. The trees can be productive (e.g. fruit, timber, cork, fodder) or not.;SE_woodpasture.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Unknown;Harder;Unknown;Unknown;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;;x
Southern Europe;Orchards;Grazed orchards;Permanent woody crops (top fruit, nuts, vines, olives) with livestock.;SE_grazed_orchard_chickens.jpg;;No consensus;No consensus;Unknown;Higher;No consensus;No consensus;No consensus;Unknown;Harder;Unknown;Unknown;;;;;;;;;;;;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
Southern Europe;Orchards;Intercropped orchards;Permanent woody crops (top fruit, nuts, vines, olives) with annual crops (arable, vegetables).;SE_intercropped_orchard_forest_farming.jpg;;Higher;No consensus;Unknown;No consensus;No consensus;Higher;No consensus;Unknown;Harder;Unknown;Unknown;;;;;;;;;;;;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
Western and Central Europe;Annual crops;Agrosilvopastoral;Combination of trees, livestock and annual crops (arable, vegetables) within the same system, usually on a rotation. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;Unknown;;;x;x;x;x;x;x;x;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;;x;x;x;x;;x;x;x;x;;x;x;x
Western and Central Europe;Annual crops;Alley cropping with annual crops;Within-field linear systems with annual crops (arable, vegetables) grown in alleys between tree rows. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;WCE_alley_cropping_copyright_agforward.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;x;x;x;;;x;x;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;;;x;x;x;;;x;x;x;;x;x;x;;;x;x;x;x;;x;x;x
Western and Central Europe;Annual crops;Forest farming;Cultivation of high-value crops under the protection of a managed tree canopy.;;;Higher;Much higher;No consensus;Higher;Much higher;Much higher;Higher;Expensive;Harder;No consensus;Unknown;;;x;x;x;x;x;x;x;;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;;x;x;x;;x;x;x;x;;x;x;;x;;x;x;x
Western and Central Europe;Annual crops;Hedgerows, riparian buffers and shelterbelts;Linear systems of shrubs and trees around field perimeters or adjacent to streams, rivers, lakes or wetlands. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;WCE_linear_woody_feature_windbreak.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;x;x;x;;;;;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;;;;x;x;;x;x;x;x;;x;x;x;x;;x;x;x
Western and Central Europe;Annual crops;Intercropped orchards;Permanent woody crops (top fruit, nuts, vines, olives) with annual crops (arable, vegetables).;;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;x;x;x;x;x;x;x;;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;;x;x;x;;x;x;x;x;;x;x;;x;;x;x;x
Western and Central Europe;Forestry;Forest farming;Cultivation of high-value crops under the protection of a managed tree canopy.;;;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;Expensive;Harder;No consensus;No consensus;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;x;;x;x;x;x;;;;;x;x;x;x;x
Western and Central Europe;Forestry;Forest grazing;Livestock incorporated into woodlands or forest.;WCE_forest_grazing.jpg;;Same;Same;No consensus;No consensus;Same;Same;No consensus;No consensus;Harder;Unknown;Unknown;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
Western and Central Europe;Forestry;Wood pasture;Livestock with scattered trees. The trees can be productive (e.g. fruit, timber, cork, fodder) or not.;;;Same;Unknown;No consensus;No consensus;Same;No consensus;No consensus;No consensus;Harder;Unknown;Unknown;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
Western and Central Europe;Livestock;Agrosilvopastoral;Combination of trees, livestock and annual crops (arable, vegetables) within the same system, usually on a rotation. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;Expensive;Harder;Unknown;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;;x;;x;x;x
Western and Central Europe;Livestock;Alley systems with livestock;Within-field linear systems with pasture or forage grown in alleys between tree rows. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;Expensive;Harder;Unknown;No consensus;;;x;x;x;;;x;x;x;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;;;x;x;x;;x;x;x;;x;x;x;x;;;x;x;x;x;;x;x;x
Western and Central Europe;Livestock;Forest grazing;Livestock incorporated into woodlands or forest.;WCE_forest_grazing.jpg;;Higher;Much higher;No consensus;Higher;Higher;Higher;Higher;Expensive;Harder;Unknown;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;x;x
Western and Central Europe;Livestock;Grazed orchards;Permanent woody crops (top fruit, nuts, vines, olives) with livestock.;WCE_grazed_orchard.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;Expensive;Harder;Unknown;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;x;x
Western and Central Europe;Livestock;Hedgerows, riparian buffers and shelterbelts;Linear systems of shrubs and trees around field perimeters or adjacent to streams, rivers, lakes or wetlands. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;WCE_linear_woody_feature_riparian_buffer.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;Expensive;Harder;Unknown;No consensus;;;x;x;x;;;;;x;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;;x;;x;;x;x;x;x;x;;x;x;x;x;;x;x;x
Western and Central Europe;Livestock;Wood pasture;Livestock with scattered trees. The trees can be productive (e.g. fruit, timber, cork, fodder) or not.;;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;Expensive;Harder;Unknown;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;x;x
Western and Central Europe;Orchards;Grazed orchards;Permanent woody crops (top fruit, nuts, vines, olives) with livestock.;WCE_grazed_orchard.jpg;;No consensus;No consensus;No consensus;No consensus;Same;No consensus;No consensus;Expensive;Harder;Unknown;No consensus;;;;;;;;;;;;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;x;x
Western and Central Europe;Orchards;Intercropped orchards;Permanent woody crops (top fruit, nuts, vines, olives) with annual crops (arable, vegetables).;;;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;Harder;Unknown;No consensus;;;;;;;;;;;;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
All;Annual crops;Mixed farming: Between-farms complementarity;Direct exchange of raw materials between farms. Involves strategic planning among crop and livestock farmers to match supply and demand for feedstuff through adapted crop rotations including grasslands, forage crops, and cover crops that produce forage. It can also optimize manure allocation based on comparative advantages of field soils of participating farms. Involves temporal coordination of one-way flow or exchanges of raw materials between spatially segregated farms. Requires direct and frequent coordination between farmers for strategic planning to respond to variability in quantity and quality of exchangeable materials.;;;Higher;Higher;No consensus;Higher;Higher;Higher;Same;Expensive;Harder;No consensus;No consensus;;;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;;x;;;;;x;;;;x;x;;x;x;;;;;;x;;;;;;;x;x
All;Annual crops;Mixed farming: Between-farms synergy;"Strong temporal and spatial integration between crops, grasslands, and animals among farms. Involves resource sharing, mainly land sharing: farmers group their respective land areas and collectively plan land use of each field and animal movements. Based on practices such as stubble grazing; sacrificial grazing of grain crops; introducing intercropped forage crops, temporary grasslands, and forage legumes in crop rotations; grazing animals from livestock farms on crop farms and arrangements such as potato–dairy systems. Coordination between farmers must be strong and long-lasting to manage rotational manure application and occurrence of grasslands in crop rotations.";;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;;x;;;;;x;;;;x;x;;x;x;;;;;;x;;;;;;x;x;x
All;Annual crops;Mixed farming: Within-farm complementarity ;Involves temporal coordination of one-way flow or exchanges of raw materials between spatially segregated farm components. Involves strategic planning among crop and livestock components to match supply and demand for feedstuff through adapted crop rotations including grasslands, forage crops, and cover crops that produce forage, and optimize manure allocation based on needs of field soils of the farm.;;;Higher;Higher;Same;Higher;Higher;Higher;Same;No consensus;Harder;No consensus;No consensus;;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;;x;x;;;;;;;;;x;x;;x;x;;;;;;;;;;;;;;x
All;Annual crops;Mixed farming: Within-farm synergy;"Strong temporal and spatial integration between crops, grasslands and animals on a single farm. Involves resource sharing, mainly land sharing and planning of land use of each field and animal movements. Based on practices such as stubble grazing; sacrificial grazing of grain crops; introducing intercropped forage crops and leys, temporary grazed grasslands, and forage legumes in crop rotations.";SE_mixed_farming_agromix.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;;x;x;;;;;;;;;x;x;;x;x;;;;;;;;;;;;x;;x
All;Livestock;Mixed farming: Between-farms complementarity;Direct exchange of raw materials between farms. Involves strategic planning among crop and livestock farmers to match supply and demand for feedstuff through adapted crop rotations including grasslands, forage crops, and cover crops that produce forage. It can also optimize manure allocation based on comparative advantages of field soils of participating farms. Involves temporal coordination of one-way flow or exchanges of raw materials between spatially segregated farms. Requires direct and frequent coordination between farmers for strategic planning to respond to variability in quantity and quality of exchangeable materials.;;;Higher;Higher;Higher;Higher;No consensus;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;;;;;;;;;;;;;;;;x;;x;x;;x;x;;x;;;;;x;;;;x;x;;x;x;;;;;;x;;;;;;;;x
All;Livestock;Mixed farming: Between-farms synergy;"Strong temporal and spatial integration between crops, grasslands, and animals among farms. Involves resource sharing, mainly land sharing: farmers group their respective land areas and collectively plan land use of each field and animal movements. Based on practices such as stubble grazing; sacrificial grazing of grain crops; introducing intercropped forage crops, temporary grasslands, and forage legumes in crop rotations; grazing animals from livestock farms on crop farms and arrangements such as potato–dairy systems. Coordination between farmers must be strong and long-lasting to manage rotational manure application and occurrence of grasslands in crop rotations.";;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;No consensus;No consensus;No consensus;No consensus;;;;;;;;;;;;;;;;;;x;;x;x;;x;x;;x;;;;;x;;;;x;x;;x;x;;;;;;x;;;;;;x;;
All;Livestock;Mixed farming: Within-farm complementarity ;Involves temporal coordination of one-way flow or exchanges of raw materials between spatially segregated farm components. Involves strategic planning among crop and livestock components to match supply and demand for feedstuff through adapted crop rotations including grasslands, forage crops, and cover crops that produce forage, and optimize manure allocation based on needs of field soils of the farm.;;;Higher;No consensus;No consensus;Higher;No consensus;Higher;Same;No consensus;No consensus;No consensus;No consensus;;;;;;;;;;;;;;;;;x;x;;x;x;;x;;x;x;;;;;;;;;x;x;;x;x;;;;;;;;;;;;;;
All;Livestock;Mixed farming: Within-farm synergy;"Strong temporal and spatial integration between crops, grasslands and animals on a single farm. Involves resource sharing, mainly land sharing and planning of land use of each field and animal movements. Based on practices such as stubble grazing; sacrificial grazing of grain crops; introducing intercropped forage crops and leys, temporary grazed grasslands, and forage legumes in crop rotations.";SE_mixed_farming.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;No consensus;No consensus;No consensus;No consensus;;;;;;;;;;;;;;;;;x;x;;x;x;;x;;x;x;;;;;;;;;x;x;;x;x;;;;;;;;;;;;x;;
