id;name;source;climate_zone;country;coordinates;land_use;farm_size;tree;crop;livestock;description;photo;website_official_link;website_official_text;website_other_1_link;website_other_1_text;website_other_2_link;website_other_2_text;website_other_3_link;website_other_3_text
12;Darliner farm;EURAF Featured Farms;Southern Europe;Italy;42.680288955498945, 12.331809351709744;Intercropped orchards;7;"About 0.7 ha are managed as intercropped fruit orchards. The fruit orchards include several traditional varieties of fruit species, such as mulberry, apricot, apple, almond, quince tree, etc. Fruits are usually processed to produce delicious homemade jams. About 4 ha of the farm land are managed with olive orchards. Olive trees comprise local and traditional varieties and are managed according to two planting schemes: in the first one about 600 trees (approximately 40 years old) are planted at a spacing of 6x6 m; in the second about 300 older olive trees are planted at wider distance (about 12x12 m) allowing the intercropping with arable crops. In terms of economic revenue, the extra-virgin olive oil is the most important product of the farm. Olive orchards usually produce about 9 tons of olives per year. Olives are usually collected at the beginning of November and processed in a local olive mill. The annual extra-virgin olive oil production is about 1,200 litres. The olive oil is mainly destined to domestic market; a limited percentage is sold abroad. Pruning olive trees and harvesting olives are the most costly management practices, in terms of labour. Soil fertility is integrated using only manure, without any chemical fertilizers or treatments, and all the farm products are really organic. Moreover, phytosanitary control of pathogens, in particular olive fly, is carried out adoption biological methods. Olive orchards are kept with natural grass between the tree rows and weed is periodically mown. In terms of expenses, the olive process at the oil mill accounts about 43% of the total cost. Farm comprises also small wooded areas managed to collect wood that is used to satisfy the energy need of the farm.";Intercropped with the fruit trees are aspagarus and artichokes. Farm includes also 0.2 ha of arable field where cereals are produced mainly to feed poultry, and legumes are grown for home consumption. In addition, in a small portion of the farm land, the feasibility of producing new products such as raspberries and other secondary products is being tested and experimented with the aim to integrate farm income. In addition, a water source and a small artificial water basin are included in the farm. The water is used to irrigate the homegarden where various seasonal vegetables are cultivated in rotation, allowing the production of different vegetables during the whole year.;;“Darliner” is a small-scale farm located in the southern-west part of Umbria Region, Central Italy. Around the farm, a mosaic of agroforestry systems, at different level of complexity, characterizes the rural landscape. Olive groves, often managed in combination with pasture or intercropped with cereals, and vineyards are the most common agricultural crops on hilly lands. Other crops, such as sunflower and tobacco are cultivated in small portion of plain lands. Agricultural fields are usually alternated with wooded lands with oaks, ash, maple, etc. managed as coppice to produce fuelwood destined to local energy market. The farm size is about 7 ha, including the house where the family lives. The overall objective of the farmers is to produce enough food and energy to self-sustain the family in an environmental friendly way. Since they started agricultural activity without any specific background and experience, they began to get basic technical skills and knowledge by consulting their neighbour farmers.;darliner_farm.jpg;https://doi.org/10.5281/zenodo.10907282;EURAF Featured Farm;;;;;;
13;Juchowo Farm;EURAF Featured Farms;Western and Central Europe;Poland;53.67700071913375, 16.49143650437039;Agrosilvopastoral;2000;The farm has 140 ha of forests and trees outside forests. Tree species encompass both fruit trees and common forest deciduous trees. These are planted in belts and in copses on hilltops. We can find here alley cropping systems as single row belts, planted on grasslands as well as between fields. Tree species, properly selected for the habitat, include lime, birch, oak, beech, European hornbeam and horse chestnut. Multifunctional belts in the form of hedgerows acting as buffers against erosion and wind are usually planted between fields. They also protect natural habitats and apiaries sites, which are particularly susceptible to environmental influences. To create hedgerows both trees and bushes are planted. The bushes have edible fruits or nuts and are adapted to the conditions within the hedge. In recent years, 5 kilometres of hedges (78,000 square meter) and about 5,000 solitary trees have been planted on the farmland. Moreover, natural stands of mid-field trees are maintained, particularly the ones around marshy areas and water reservoirs.;It consists of 1,450 ha of arable land, 340 ha of grasslands and 7.5 ha of vegetables gardens.;Almost 700 head of cattle are kept here.;“Juchowo Farm” is a large-scale farm in North-Western Poland near Szczecinek, established in 2000, operating on nearly 2,000 hectares of land. It is one of the best examples of a multifunctional farm in Poland and is a forerunner in the introduction of modern agroforestry practices in this part of Europe. “Juchowo Farm” is a biodynamic farm with a strongly diversified agricultural production. The main source of income for the farm is the production and sale of biodynamic milk. Additionally, 77 other biodynamic products are sold directly at the farm, including different types of bread, cheese, herbs, fruit syrups and vegetables. The farm employs approximately 90 workers including 6 mentally disabled people. Another 30 people work regularly at a therapeutic base at “Juchowo Farm”. Owner is the Stanisław Karłowski Foundation, whose statutory goals are enhancement of soil fertility and renewal of social and economic life of rural areas in the context of social three folding. The foundation is managing a long-term rural project in Juchowo, combining different activities including agriculture, processing, education, pedagogic, social therapy and on-farm research.;juchowo_farm.jpg;https://www.juchowo.org/;Juchowo Farm;https://doi.org/10.5281/zenodo.10907534;EURAF Featured Farm;;;;
14;La Cabreta;EURAF Featured Farms;Southern Europe;Spain;43.21462363204984, -7.301309303783851;Forest grazing;26;These farmers found a way to help forest owners by grazing during the summertime the bushes that grow under the trees (bramble). With this system, the forest owners get understory bushes removed. So, the whole system is optimized. The system reduces the carbon footprint of both farms, as mechanical clearing is not needed, forest fires are reduced and the forest owner has a great reduction of the costs.;The farm transformed 10 ha of land full of bushes to grassland with a long term mixture of seeds.;In order to control and take advantage of the existing bushes, they introduced a 150 goat flock. In 2015, a flock of 100 ewes joined the goats to diversify the farm's production and increase the pasture use efficiency. Goats transform forest woody understory into herbaceous vegetation, which is better used by sheep.;"""La Cabreta"" is an outdoor goat and sheep production enterprise linked to forest and grasslands. It was established in 2008 in Meira (Lugo province of Galicia region) on rented lands from the Banco de Terras de Galicia. The starting point for “La Cabreta” was 26 ha of abandoned land full of bushes (Ulex europaeus and Ulex gallii). The farmers implemented extensive management (all day, all night and 365 days/year outdoor grazing time) in a high wolf density area thanks to the cooperation with their neighbors. Marketing has proven to be really important, because extensive grazing systems are based on low inputs. Therefore, they decided to join other sheep and goat farmers and start a quality label called ""Cordeiro e Cabrito Atlántico"" (Atlantic Lamb and Kit, https://www.facebook.com/cordeirocabritoatlantico) based on this extensive flock management system. Through the company they started, called Beealia (https://www.facebook.com/beealia/), they sell their products to restaurants, butcheries and the general public all over Spain.";la_cabreta.jpg;https://www.facebook.com/beealia/;Beelia;https://doi.org/10.5281/zenodo.10907430;EURAF Featured Farm;https://www.facebook.com/cordeirocabritoatlantico;"Quality label ""Cordeiro e Cabrito Atlántico"" (Atlantic Lamb and Kit)";;
15;Urban agroforestry in Donzdorf;EURAF Featured Farms;Western and Central Europe;Germany;48.68537984525219, 9.807326045940792;Grazed orchards;2.5;"The city decided for valuable timber trees: wild fruit trees (Prunus avium, Sorbus torminalis, Sorbus domestica, Malus sylvestris); traditional, fast-growing fruit varieties like pears (‘Gute Graue’, ‘Palmischbirne’, ‘Gellerts Butterbirne’) and plums (‘Bühler Frühzwetschge’, ‘Ersinger Frühzwetschge’); walnuts (Juglans regia, Juglans nigra, Juglans x intermedia); black alder (Alnus glutinosa). These agroforestry plots with valuable timber trees are not an alternative to traditional orchards, but a possible additional form of landuse.  Due to the use of fast-growing fruit varieties the plots resemble the traditional orchards and ﬁt into the local landscape. Using fruit trees to produce valuable timber generates an additional value and brings back the concept of use to areas with fruit trees. The tree’s ecological value is also very important for the city: it's assumed that not all trees will show perfect growth, although those will not be replaced, remaining instead as habitat trees. ";The trees were planted on extensive grassland.;The land is mown, mulched and/or grazed by sheep.;"Donzdorf is a city of 11.000 inhabitants in the Stuttgart area of Germany at the fringe of the Schwäbische Alb mountains. The region is located in the transitional zone between urban and rural area and characterized by its traditional fruit orchards. Between 2007 and 2010 the city established ﬁve agroforestry plots with trees for valuable timber production on city-owned land, sized 0,15 to 0,75 ha. Two of the plots have been approved as an eco-account (compensation balance) measure by the responsible local nature conservation authority. For the measure the city volunteered to make the following commitments: (i) long-term preservation of remaining traditional orchard trees; (ii) permanent extensiﬁcation of understory (grassland); (iii) trees can be cut at the earliest after 60 years, cut trees need to be replaced; (iv) no clear cuts; (v) diﬀerent tree species have varied growth rates, therefore a continuous regeneration of the tree stock is guaranteed; (vi) 10 % of trees remain untouched as habitat trees; (vii) installation of 5 nesting aids. Although working intensive in the establishment phase the management of the valuable timber plots can be mastered more easily by the city in the long-term compared to traditional orchards, e.g. longer trunks facilitate the management of the grassland and pruning is less labour intensive. This is one of the reasons why this new approach found broad approval and support within the local community and administration.";donzdorf.png;https://www.agroforst.multifunktion.uni-freiburg.de/Downloads/krause.pdf;Georg Krause: Agroforstsysteme im Kommunalbereich - ein Erfahrungsbereicht aus der Stadt Donzdorf;https://doi.org/10.5281/zenodo.10927040;EURAF Featured Farm;;;;
16;Azienda Agricola Bachetoni;EURAF Featured Farms;Southern Europe;Italy;42.81090377286373, 12.811761266819838;Grazed orchards;1200;Olive orchards and the farm mill allow the production of extravirgin olive oil. The olive cake obtained after processing the olives is first de-pitted and then fed to the cows. The pits separated from the cake make an excellent fuel, used on site and sold (100-120 € per ton).;The farm grows wild asparagus (Asparagus acutifolius), a local highly-estimated vegetable.;The cows graze in the forest (during the summer), feeding on natural vegetation, including the acorns produced by the abundant oaks. The meat is sold directly to the consumers at the farm butcher shop. The farm is also raising poultry under the olive trees. The poultry graze and weed the olive orchards and the asparagus (which they do not damage due the prickly vegetation of adult plants), while fertilizing the whole system. They also contribute to killing olive suckers and control asparagus parasites, such as the common asparagus beetle, Crioceris asparagi , and the spotted asparagus beetle, Crioceris duodecimpunctata. The poultry meat can be sold at the farm butchery.;Located in the Umbria region, the green heart of Italy, the farm produces the Umbrian’s most typical products: Chianina (the famous ancient giant white cow) meat, poultry meat, black truffles and extravirgin olive oil. With their agroforestry design, the farm does an excellent job at making the best synergy among crops, turning residues into resources and providing local (zero miles) high quality products.;bachetoni_farm.jpg;https://www.bachetoni.it/;Azienda Agricola Bachetoni;https://doi.org/10.5281/zenodo.10907817;EURAF Featured Farm;https://www.bachetoni.it/manuale_olivo_asparago_pollo.pdf;Manuale per la coltivazione consociata Olivo - Asparago selvatico - Pollo rustico;https://www.youtube.com/watch?v=ALw73WwUr2o;Olivo - Asparago selvatico - Pollo rustico (video)
17;Combined production of apples and beef in Poland;EURAF Featured Farms;Western and Central Europe;Poland;;Grazed orchards;24;Apple orchards;Pasture;Simental and Limousine cattle for beef;Rotational cattle grazing in traditional orchards to diversify production, extend timing of cash flow and manage orchard understorey.;Polandgrazedorchard.png;https://doi.org/10.5281/zenodo.10907237;EURAF Featured Farm;;;;;;
18;Gunarsholt’s windbreaks in Iceland;EURAF Featured Farms;Northern Europe;Iceland;;Hedgerows, riparian buffers and shelterbelts;8000;Salix phylicifolia, Betula pubescens, Populus tricocarpa;;;"Gunarsholt farm is in an area previously subject to severe erosion and frequent sand storms; windbreaks were planted to reduce wind speeds. The belts are characterised by specific structure and include two external rows of lower height vegetation (Salix phylicifolia, Betula pubescens) and one internal row of balsam poplar (Populus tricocarpa).";Icelandwindbreak.png;https://doi.org/10.5281/zenodo.10907351;EURAF Featured Farm;;;;;;
19;Biolandhof Braun;EURAF Featured Farms;Western and Central Europe;Germany;48.36888140430997, 11.722973265349276;Agrosilvopastoral;58;Up to date, about 25,000 trees have been planted. In 2009 and 2010, poplar clones, grey-black alder and silver willow were planted as part of a cooperation project between the Bavarian State Institute for Agriculture (LfL) and the Bavarian State Institute for Forestry (LWF). The first energy wood was harvested in the winter of 2015/2016. In 2011 and 2012, poplar hybrids, grey alder and a willow mixture were planted additionally. It is currently planned to let these grow for another 7 to 10 years.;Grain cultivation for organic seed production.;"22 dairy cattle, some pigs and, most recently, chickens are kept in the agroforestry system. The farmer experiments with two chicken breeds. Bress chickens (Les Bleus) are raised as a dual-purpose breed. Characteristic features are the snow-white plumage, the blue legs and the red comb, symbolizing le drapeau tricolore. The laying hens are New Hampshire, a robust breed with good laying performance, which is widespread in organic farming. The chickens can use the agroforestry system on grassland on the one hand and the orchard meadows on the other. The cow feels very comfortable as a forest and steppe animal in agroforestry systems. The strips of wood offer shade and protect against bad weather. The cows like to linger in the shade of the trees to ruminate. Healing effects such as the salicylic acid of willow leaves are instinctively used by the cow ""when she has a headache"". In addition, agroforestry systems improve the microclimate. The farmer was able to observe, for example, that in the wake of global warming and ozone pollution, cows are increasingly less likely to go outside during the day. The milk is processed in the farm's own cheese dairy and the daughter Johanna runs an excellent restaurant in the restored former cowshed.";The Biolandhof Braun is a much-diversified organic farm with 58 ha of arable land, 17 ha of permanent grassland and some forest. In 1988, the conversion to organic farming took place with the aim of respecting and preserving the environment and resources as well as creation. The interest in closing nutrient cycles lead him via forest garden systems and permaculture to agroforestry.;biolandhof_braun.jpg;https://biolandhofbraun.de/;Biolandhof Braun;https://doi.org/10.5281/zenodo.10907448;EURAF Featured Farm;;;;
20;Località il Piano;EURAF Featured Farms;Southern Europe;Italy;42.772371967255424, 12.85790686421074;Agrosilvopastoral;30;1500 different varieties of fruit are cultivated on the farm, including many kinds of apples, pears, peaches, plums, persimmons, cherries, kiwis, black, red and white currants, raspberries, blackberries, blueberries, gojiberries, juneberries, medlars, quince, hazelnuts, walnuts, chestnuts, mulberries, pomegranates, strawberries, almonds, olives, and different varieties of both wine and table grapes. An extensive forest garden or “food forest” is a collection of more unusual edible species including sorbs, raisin trees, jujubes, wild persimmons, honey locust, elderberries, aronia berries. In the summer, forest trees are thinned, providing forage as well as wood for winter heating.;Wild asparagus are grown both under olive trees and under the wine grapes. Artichokes are also cultivated under the vineyard, growing in fall winter and spring when the grapes are dormant. A large no-till vegetable and herb garden completes the farm: manure from the dairy animals is used to prepare the transplanting beds, in a thick enough layer to kill present weeds and prevent further weeds from germinating. Transplants are then planted in the soil by opening small holes in the manure layer and filling it with compost.;The orchards are grazed by geese and Comisana dairy sheep, while Alpine goats and Jersey cows are kept out to prevent damage to the fruit trees. All animals rotate through pastures and the forest, grazing on native grasses, forest trees and acorns. Hens weed and fertilize the vineyard, aided by the sheep in fall, winter and spring, before the grapevines sprout.;Località il Piano is a 30 hectare family-run organic and agroforestry farm in central Italy, operating since 2001. The first thing Darcy Gordon and Adolfo Rosati did was to plant fruit trees, as many as possible and of as many varieties as possible! Currently, about 1500 different varieties of fruit are cultivated on the farm. Farm products including fruit and vegetables, eggs, meat, dairy products (blue cheese, camembert, chevre, feta, yogurt, etc.) are sold weekly in town to consumers through a WhatsApp group, and to the guests staying in the two agriturismo apartments, with the rest donated to local charities. Since hand labor is the limiting factor on this farm, systems are designed to require the bare minimum amount of human work from outside the family (though a lot of work within the family!). As much as possible, crops, varieties and systems needing little labor are preferred. Animals, managed with both permanent and mobile fencing, do most of the weeding and fertilizing. Extra seasonal help comes from interns and WWOOFers (i.e. volunteers adhering to the WWOOF program: World-Wide Opportunities on Organic Farms). The farm also offers educational group activities like classes on identifying and cooking wild edible species, tastings of farm products, cheese making from barn to fork, cider-making and other agricultural activities. Often an informal meal with farm products is provided, sometimes pizza cooked in the woodfired oven and made with vegetables and cheeses, picked and produced together with the guests just few minutes earlier. ;localitailpiano.jpg;https://localitailpiano.it/;Località il Piano;https://doi.org/10.5281/zenodo.10907476;EURAF Featured Farm;;;;
21;Lynbreck Croft;EURAF Featured Farms;Northern Europe;United Kingdom;57.27882806062269, -3.5602073897778137;Wood pasture;60;To date they have planted nearly 30,000 trees with 17,400 in a new native hill woodland, 6,000 in a new hedgerow and 6,000 in an agroforestry project. They have set aside a further 9ha for natural regeneration and are starting to look at incorporating more trees in the fields including fruit and nut varieties. Trees can help to keep the animals safe in all weathers as well as offering them a different but essential type of forage. They also help to keep them safe by sheltering buildings and provide all of the wood fuel to keep them warm in the winter.;;The animals comprise of Highland Cattle, Jacob Sheep, Oxford Sandy and Black pigs, a variety of hens and multiple colonies of Scottish Black Bees. They apply no inputs and instead use nature as their guide to always improve diversity and regenerate the land. High animal welfare is paramount to the success of the business and they work hard to ensure that the animals are able to express their natural behaviours and source everything they need from the land to keep them mentally and physically healthy.;Lynbreck Croft is a 150 acre mixed habitat holding in the Cairngorms National Park, Scotland. There is a mixture of heather clad hill, bog, established woodland and unimproved pasture. The prevailing weather comes from the south, but is already already noticeable that weather extremes are becoming the rule rather than the exception. Drought, prolonged snow, high winds and short but heavy rain downpours are becoming more frequent. The goal at Lynbreck is to build a profitable, small farm business where every decision outcome must have a positive environmental impact. They aim to be carbon neutral and use a team of native animals, suitable for the land and climate, to help them build soil and organic matter.;lynbreck_croft.jpg;https://www.lynbreckcroft.co.uk/;Lynbreck Croft;https://doi.org/10.5281/zenodo.10907581;EURAF Featured Farm;;;;
22;Mixed Crop-Dairy Cattle Farm in South-Western France;EURAF Featured Farms;Western and Central Europe;France;;Alley systems with livestock;108;Poplar, ash, mulberry, maple;Maize, cover crops, grassland;Dairy cattle;No-till farm with trees planted within grassland to further improve the overall productivity of the farm, whilst making it more sustainable and resilient, both ecologically and economically. These trees will later be pollarded to produce chipped branch-wood for livestock bedding. This way, they will be able to gradually reduce their need for straw from outside the farm, and gain self-reliance.;MixedCropDairy.jpg;https://doi.org/10.5281/zenodo.10908903;EURAF Featured Farm;;;;;;
23;Tüzkövesbörc Farm;EURAF Featured Farms;Western and Central Europe;Hungary;;Wood pasture;;Hawthorn, blackthorn, hedge rose, wild pear ;Pasture;Hungarian Grey Cattle, Hucul horses, Cikta sheep, Cigája sheep, Buffalo, Hungarian goats,;At Tűzkövesbörc Farm, Tibor Nagy and his family began cutting shrubs and grazing livestock 8 years ago. Shrubs – typically hawthorn, blackthorn, hedge rose, wild pear – are cut by machine and chainsaw. Attention is paid to leave tree re-growth in place and to provide natural protection by retaining some thorny bushes. Ancient, crumbling, trees are left in the area consciously. The main aim of their farming is to preserve the genetic stock of native breeds and to produce breeders. They follow the retaining selection principle for which the appropriate environment is provided by the wooded pasture. Livestock is kept outdoors all year round. In extreme weather and during calving and lambing season livestock are sheltered by trees, woodlots, thicker forest stands and not by constructions or buildings.;Hungarywoodpasture.png;https://doi.org/10.5281/zenodo.10908916;EURAF Featured Farm;;;;;;
24;Herdade do Freixo do Meio;EURAF Featured Farms;Southern Europe;Portugal;;Wood pasture;440;Cork and holm oak, vines, olives;Biodiverse pasture;Barrosa cattle, Alentejo pigs, Merino sheep, Black Lusitan chickens;The Herdade do Freixo do Meio (HFM) is a farm located in Montemor-o-Novo in Portugal that manages 440 ha of cork oak and holm oak Montado agroforestry systems. The farm also includes portions of irrigated land, vineyards, olive groves and biodiverse pastures and enables to produce nearly all the ingredients of the Mediterranean diet with the exceptions of milk and fish. The HFM is considered an example of a multifunctional farm based on an agroforestry system in Portugal and remains one of the few economic viable projects on the area.;hfm.jpg;https://freixodomeio.pt/;Freixo do Meio;https://doi.org/10.5281/zenodo.10908944;EURAF Featured Farm;;;;
