Key from Zotero;Publication Year;Author;Title;Abstract Note;DOI;Url;exposure_1;exposure_2;exposure_3;exposure_4;exposure_5;exposure_6;exposure_7;exposure_8;exposure_9;sensitivity_1;sensitivity_2;sensitivity_3;sensitivity_4;sensitivity_5;sensitivity_6;sensitivity_7;sensitivity_8;sensitivity_9;sensitivity_10;sensitivity_11;sensitivity_12;sensitivity_13;adaptive_capacity_1;adaptive_capacity_2;adaptive_capacity_3;adaptive_capacity_4;adaptive_capacity_5;adaptive_capacity_6;adaptive_capacity_8;Agrosilvopastoral;Alley cropping with annual crops;Forest farming;Hedgerows, riparian buffers and shelterbelts;Intercropped orchards;Forest grazing;Wood pasture;Alley systems with livestock;Grazed orchards;Mixed farming: Between-farms complementarity;Mixed farming: Between-farms synergy;Mixed farming: Within-farm complementarity;Mixed farming: Within-farm synergy;Southern Europe;Western and Central Europe;Northern Europe;Filters;notes
5T3JUZWF;2018;"Moreno, G.; Aviron, S.; Berg, S.; Crous-Duran, J.; Franca, A.; de Jalón, S. García; Hartel, T.; Mirck, J.; Pantera, A.; Palma, J. H. N.; Paulo, J. A.; Re, G. A.; Sanna, F.; Thenail, C.; Varga, A.; Viaud, V.; Burgess, P. J.";Agroforestry systems of high nature and cultural value in Europe: provision of commercial goods and other ecosystem services;;10.1007/s10457-017-0126-1;https://doi.org/10.1007/s10457-017-0126-1;x;x;x;x;x;x;x;;x;x;x;;;;;;;;;;;;x;x;x;x;x;x;;x;;x;x;x;x;x;;x;;;;;x;x;x;;
K6YCA93R;2014;"Ong, C.; Black, C. R.; Wilson, J.; Muthuri, C.; Bayala, J.; Jackson, N. A.";Agroforestry: Hydrological Impacts;;;;;;x;x;;;;;;x;x;;;;;;;x;;;;;;;;;;;;x;x;;;x;;x;x;x;;;;;x;;;southern europe;
XRGFAZP8;2021;"Reyes, Francesco; Gosme, Marie; Wolz, Kevin J.; Lecomte, Isabelle; Dupraz, Christian";Alley cropping mitigates the impacts of climate change on a wheat crop in a mediterranean environment: A biophysical model-based assessment;Introduction: Climate change (CC) and the increased occurrence of extreme climatic events pose a serious threat to crop yields and their stability worldwide. This study analyzed the CC mitigation potential of an alley cropping system on crop physiological stresses and growth as compared to a monoculture system. Materials and Methods: Growth of winter durum wheat, cultivated alone (agriculture) and in combination with hybrid walnut (agroforestry), was simulated with the Hi-sAFe agrofo2restry model, as driven by business-as-usual Intergovernmental Panel on Climate Change (IPCC) projections, split into three scenarios, representing Past (1951-1990), Present (1991-2030), and Future (2031-2070) climatic conditions. Crop growth and the occurrence of thermal, nitrogen, and water stresses were analyzed. Results: Cold-related stresses were modest in Past and almost disappeared over time. Heat, drought, and nitrogen stresses increased about twofold from Past to Future, but were reduced by 20-35% in agroforestry, already with medium-sized trees (diameter at breast height (DBH) of about 10-15 cm). Crop yields in agriculture increased from Past to the end of Present and then remained stable. This moderately decreased with tree age in agroforestry (especially in Future). Discussion: The impact of CC on the crop was buffered in agroforestry, especially for the most extreme climatic events. The mitigation of crop microclimate and the increased stability of crop yields highlight the potential of agroforestry as a CC adaptation strategy.;10.3390/agriculture11040356;https://doi.org/10.3390/agriculture11040356;;;x;;;x;x;;;;x;;;;;x;;x;;;;;x;;;;;;;;x;;;;;;;;;;;;x;;;southern europe;
RF4CLA84;2023;"Scordia, Danilo; Corinzia, Sebastiano Andrea; Coello, Jaime; Vilaplana Ventura, Rosa; Jiménez-De-Santiago, Diana Elisa; Singla Just, Berta; Castaño-Sánchez, Omar; Casas Arcarons, Carme; Tchamitchian, Marc; Garreau, Léa; Emran, Mohamed; Mohamed, Sami Z.; Khedr, Mai; Rashad, Mohamed; Lorilla, Roxanne Suzette; Parizel, Alexandre; Mancini, Giuseppe; Iurato, Antonella; Ponsá, Sergio; Dimauro, Corrado; Gresta, Fabio; Cosentino, Salvatore Luciano; Testa, Giorgio";Are agroforestry systems more productive than monocultures in Mediterranean countries? A meta-analysis;AbstractAgroforestry is gaining interest due to its potential in enhancing climate resilience and sustainability of farming systems. In this meta-analysis, the crop yield in agroforestry system compared to the control (sole crop) from thirty-six experimental field trials in Mediterranean countries was assessed. The response variable Wlog(RR) (i.e., the weighted natural logarithm of the response ratio) was analyzed by the 95% confidence intervals of mean and by fitting eight linear mixed models. Fixed effects, namely the tree cover (low, medium, high), the tree species (ash tree, chestnut, cork oak, holm oak, olive, poplar, walnut), and the crop species (alfalfa, barley, durum wheat, faba bean, forage, oat, pasture, pea, winter wheat) were significant (P = 0.030, P = 0.017, and P = 0.014, respectively), while the system type (alley cropping, silvo-arable, silvo-pastoral) was not. Among management practices (variety, pruning, fertilization, irrigation, crop age classes, imposed warming and drought, harvest time), only the fertilization significantly improved the response variable (P = 0.006), while the interaction of pruning × crop species was marginally significant (P = 0.065). Relatively large study heterogeneity was observed (Q = 72.6, I2 = 72%), which is quite common for agronomic meta-analysis. On the contrary, publication bias based on funnel plots and the Trim and Fill method suggested symmetrical distribution of studies. The sensitivity analysis for significant models identified room for improvements. Overall, we observed a negative effect of trees on crop yield that could be ascribed to the competition for light. Nonetheless, facilitation could be expected under extreme climate events, provided that agricultural practices will maximize synergies among tree cover, tree species, crop species, and management. Future works are encouraged to focus on the overall benefit agroforestry can provide at the field and landscape level, along with long-term monitoring to assess the whole lifespan of these systems and other companion planting options and designs in the Mediterranean region.;10.1007/s13593-023-00927-3;https://doi.org/10.1007/s13593-023-00927-3;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;x;x;;;;;;;x;;;southern europe;evidence for negative effect of trees on crop yield
UD9NZ4HA;2013;"Dufour, L.; Metay, A.; Talbot, G.; Dupraz, C.";Assessing light competition for cereal production in temperate agroforestry systems using experimentation and crop modelling;"In every agroforestry system, the tree canopy reduces the incident radiation for the crop. However, cereal varieties were selected, and most crop growth models were designed for unshaded conditions, so both may be unsuited to agroforestry conditions and performance. In southern France, durum wheat productivity was monitored over 2 years in an agroforestry system including walnut trees and under artificial shade conditions. Yield components were measured in both full and reduced light conditions. The cereal yield was always decreased by shade; by almost 50% for the heaviest shade conditions (31% of light reduction). The main effect of the shade was the reduction in the number of grains per spike (35% at the most) and in the weight of grains (16% at the most). The mean grain weight was moderately affected, while the protein content was increased in shaded conditions (by up to 38% for artificial shade). Consequently, the protein yield per hectare was less reduced by the shade than the dry matter grain yield. A crop model (STICS) was also used to simulate the crop productivity in full light and shaded conditions, but the crop LAI and the yield components were not correctly simulated in the shade. The simulations emphasized the sensitivity of the wheat grain filling to shade during the critical period, 30 days before flowering, for yield elaboration. Further experimental and modelling studies should take into account the heterogeneity of shade intensity due to the shape of the tree crown, the width of the crop alley and the orientation of the tree rows and the modification of carbon allocation inside the plant. © 2012 Blackwell Verlag GmbH.";10.1111/jac.12008;https://doi.org/10.1111/jac.12008;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;x;x;;evidence for negative effect of trees on crop yield
4XJ34L55;2018;"Vandermeulen, Sophie; Ramírez-Restrepo, Carlos Alberto; Marche, Christian; Decruyenaere, Virginie; Beckers, Yves; Bindelle, Jérôme";Behaviour and browse species selectivity of heifers grazing in a temperate silvopastoral system;;10.1007/s10457-016-0041-x;https://doi.org/10.1007/s10457-016-0041-x;;;;;;;;;;;;;x;x;;x;;;;;;;;;;;;;;;;;x;;;x;x;;;;;;x;x;x;;
6XDQCSM9;2008;"Fernández, María Elena; Gyenge, Javier; Licata, Julian; Schlichter, Tomás; Bond, Barbara J.";Belowground interactions for water between trees and grasses in a temperate semiarid agroforestry system;"A fundamental hypothesis of agroforestry is the complementary use of soil resources. However, productivity of many agroforestry systems has been lower than expected due to net competition for water, highlighting the need for a mechanistic understanding of belowground interactions. The goal of this study was to examine root-root interactions for water in a temperate semiarid agroforestry system, based on ponderosa pines and a Patagonian grass. The hypotheses were: (a) A greater proportion of water uptake by pines is from deeper soil layers when they are growing with grasses than when they are growing alone; (b) Growth of grasses is improved by the use of water hydraulically lifted by pines. We used stable isotopes of O to analyze water sources of plants, and we measured sapflow direction in pine roots and continuous soil water content with a very sensitive system. We also installed barriers to isolate the roots of a set of grasses from pine roots, in which we measured water status, relative growth and water sources, comparing to control plants. The results indicated that pines and grasses show some complementary in the use of soil water, and that pines in agroforestry systems use less shallow water than pines in monoculture. We found evidence of hydraulic lift, but contradicting results were obtained comparing growth and isotope results of the root isolation experiment. Therefore, we could not reject nor accept that grasses use water that is hydraulically lifted by the pines, or that this results in a positive effect on grass growth. This information may contribute to understand the complex and variable belowground interactions in temperate agroforestry. © 2008 Springer Science+Business Media B.V.";10.1007/s10457-008-9119-4;https://doi.org/10.1007/s10457-008-9119-4;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;x;x;x;;
T9MGIVUA;2021;"Mancilla-Leytón, Juan Manuel; Hernando, Carmen; Cambrollé, Jesús; Muñoz-Vallés, Sara; Pino-Mejías, Rafael; Vicente, Ángel Martín";Can shrub flammability be affected by goat grazing? Flammability parameters of Mediterranean shrub species under grazing;In this study, we evaluated changes in the potential flammability of different Mediterranean shrub species in a pine (Pinus pinea) forest in the Doñana Natural Park (of SW Spain) as a result of goat grazing. Plant height, total biomass, fine fuel biomass and leaves/wood ratio were measured in individual plants of each species in both grazed and ungrazed areas. Moisture content, mean time of ignition, mean time of combustion, gross heat of combustion (GHC) and flammability class of the studied shrub species were determined in the laboratory. The results of this experiment showed that grazing influenced the flammability characteristics of the studied shrub species. However, the strength of this effect was insufficient to modify the flammability index of these plants, except in the case of Myrtus communis, in which grazed plants presented a lower flammability index. According to Valette’s classification, Cistus salviifolius, Halimium halimifolium and Pistacea lentiscus are flammable species, Rosmarinus officinalis is a flammable-highly flammable species, and M. communis is non-flammable. The GHC values obtained were generally “intermediate”, except for those of R. officinalis, which were classified as “high”. The flammability parameters of the study species did not show a very marked trend in relation to grazing, but the vertical structure of plants did change by presenting reduced biomass of leaves and fine twigs. This change altered the physical characteristics of these plants and possibly acted to reduce the inherent fire risk of the shrublands.;10.3390/su13031555;https://doi.org/10.3390/su13031555;;;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;x;x;x;;
U6HX96K2;2021;"Drexler, Sophie; Gensior, Andreas; Don, Axel";Carbon sequestration in hedgerow biomass and soil in the temperate climate zone;AbstractHedgerows are a traditional form of agroforestry in the temperate climate zone. The establishment of hedgerows may be a promising strategy to promote carbon (C) sinks for climate change mitigation. We therefore conducted a meta-analysis compiling data from 83 sites on soil organic carbon (SOC) stocks beneath hedgerows in comparison with adjacent croplands and grasslands, plus biomass data from 64 hedgerows. On average (± SD), the establishment of hedgerows on cropland increased SOC stocks by 32 ± 23 %. No significant differences were found between the SOC stocks of hedgerows and those of grassland. The average above-ground biomass stock was 47 ± 29 Mg C ha−1. Only one study reported measurements of below-ground biomass stocks and root/shoot ratios. Based on these measurements, an average below-ground biomass stock of 44 ± 28 Mg C ha−1 was estimated, but with high uncertainty. In total, hedgerows were estimated to store 104 ± 42 Mg ha−1 more C than croplands, with biomass contributing 84 % (87 ± 40 Mg C ha−1) and soil 16 % (17 ± 12 Mg C ha−1) to this amount. Total C sequestration with the establishment of hedgerows on cropland could be between 2.1 and 5.2 Mg ha−1 year−1 for a period of 50 and 20 years, respectively. Our results indicate that C stocks in hedgerows are on average comparable to estimates for forests. The establishment of hedgerows, especially on cropland, can therefore be an effective option for C sequestration in agricultural landscapes while enhancing biodiversity and soil protection.;10.1007/s10113-021-01798-8;https://doi.org/10.1007/s10113-021-01798-8;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;x;x;;
BDTDBBFD;1979;"Lal, R.; Cummings, D. J.";Clearing a tropical forest I. Effects on soil and micro-climate;The effects of three methods of clearing a tropical rainforest were investigated for changes in soil physical and chemical properties and micro-climate on an Alfisol in southern Nigeria. The methods consisted of slash, slash and burn, and bulldozing. Deforestation increased the maximum air temperature by 5–8° C and the maximum soil temperature at 1 cm depth by 25° C. Compared with manual clearing, the mechanical method increased soil bulk density and penetration resistance and reduced infiltration rate and saturated hydraulic conductivity. Similarly affected were the moisture retention characteristics, moisture retention at zero suction being 22.0% for mechanical, compared with 30% for manual, clearing. Burning increased soil pH and total soluble salts such as Ca, Mg, and K.;10.1016/0378-4290(79)90012-1;https://doi.org/10.1016/0378-4290(79)90012-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;
